Name,Description,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,ingredients_raw,ingredients,iscurry,isomelette
Guilt-Free Spicy Omelet,Make and share this Guilt-Free Spicy Omelet recipe from Food.com.,"c(""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"")","c(""roma tomato"", ""onion"", ""bell pepper"", ""celery"", ""fresh ground black pepper"", ""dried cilantro"")",,,25.3,0.1,0.0,0.0,59.5,2.1,0.6,0.8,3.9,2.0,,"c(""You'll need a microwave egg poacher for this recipe. These handy gadgets make 2 eggs at a time and can be purchased inexpensively in the kitchen plastics section of your grocery or dept store."", ""Crack the shell on each egg. Drop one egg each into pockets of microwave egg poacher. Use a small straining spoon to remove yolks and discard."", ""Mix tomatoes, celery, onions, and bell pepper in a bowl, then spoon half the contents of your bowl over each egg. (Note: Plan ahead and keep a few plastic containers in your fridge with washed pre-chopped veggies you use frequently. When you need them, they are already chopped and ready)."", 
""Sprinkle 1/2 tsp cilantro and 1/2 tsp fresh ground black pepper over each egg."", ""Close the top of the microwave egg poacher over your your eggs. Cook about 1 minute on High in your microwave. Use a tablespoon to scoop out your eggs when done."", ""Serve with a few half slices of turkey bacon and a slice of white toast (no butter)."")","[""2       egg whites"",""1   tablespoon    roma tomato, chopped "",""1   tablespoon    onion, chopped "",""1   tablespoon    bell pepper, chopped "",""1   tablespoon    celery, chopped "",""1   teaspoon    fresh ground black pepper"",""1   teaspoon    dried cilantro""]","[""egg whites"", ""roma tomato chopped"", ""onion chopped"", ""bell pepper chopped"", ""celery chopped"", ""fresh ground black pepper"", ""dried cilantro""]",0,1
My Super Easy Microwave Omelette,"Who says you have to spend a long time cooking a tasty, healthy, filling breakfast? Not me! You can easily double this recipe, just use a bigger bowl. Feel free to change up ingredients too; these are just my personal favourites. The red sauce in the pictures is just something I blended up with fresh tomatoes, etc. You can use whatever you want with this versatile dish.","c(""1"", ""2"", ""1"", ""1"", ""1"", ""1"", NA, NA)","c(""egg"", ""skim milk"", ""mushroom"", ""chili powder"", ""salt"", ""ground black pepper"", ""fresh parsley"")",5.0,1.0,109.4,6.2,1.8,212.1,306.5,6.1,2.3,1.1,8.8,1.0,1 small omelette,"c(""Cut mushroom into chunks and fry until tender. Alternately use canned mushrooms."", ""Rinse microwave safe bowl with cold water."", ""Combine egg, milk, chili powder, salt, and pepper. Beat with fork until frothy."", ""Sprinkle with mushrooms."", ""Cover with microwave safe plate or plastic wrap."", ""Cook 30-60 seconds on High in microwave until omelet starts to rise and look fluffy."", ""Put some tomato puree or your favorite pasta sauce on top and sprinkle with fresh parsley to serve."")","[""1       egg"",""2   tablespoons    skim milk (doesn\u0027t have to be skim)"",""1       mushroom"",""1   pinch    chili powder"",""1   pinch    salt"",""1   pinch    ground black pepper"",""  fresh parsley"",""  marinara sauce""]","[""skim milk skim"", ""chili powder"", ""salt"", ""black pepper"", ""fresh parsley"", ""marinara sauce""]",0,1
Navajo Omelet,"This is an omelet version of the southwest favorite Navajo Taco (or Indian Taco).  Full of flavor, easy to make, and always a hit.","c(""3"", ""2"", ""1/2"", ""1/4"", ""2 -3"", ""1/4"", ""1/4 - 1/2"", ""2"", NA)","c(""eggs"", ""water"", ""cheese"", ""onion"", ""chopped tomato"", ""kidney bean"", ""sour cream"", ""salsa"")",4.5,3.0,555.6,36.1,16.8,681.2,1108.5,23.0,4.4,5.3,35.0,1.0,,"c(""Whip the eggs with the water and pour into a 7\"" cast iron skillet (or other heavy skillet) heated to medium high heat."", ""As it cooks, tip the pan and pull the sides in to allow the uncooked egg to flow under the edges of the omelet."", ""While not quite cooked, add the 1/4 cup cheese to one half, and fold the other half to top it."", ""Slide to a plate and top with warmed beans, tomatoes, onions, olives & 2-3 tablespoons shredded cheese. (More cheese, tomatoes, olives or onions may be added, as desired)."", 
""Top with dollops of sour cream & salsa."", ""ENJOY!"")","[""3       eggs"",""2   tablespoons    water"",""1/2  cup    cheese, shredded, divided use "",""1/4  cup    onion, chopped in 1/2-inch pieces "",""2 -3   tablespoons   sliced olives"",""1/4  cup   large pieces chopped tomato"",""1/4-1/2  cup    kidney bean, warmed "",""2   tablespoons    sour cream"",""  salsa""]","[""cheese shredded"", ""onion"", ""sliced olives"", ""chopped"", ""kidney bean"", ""sour cream"", ""salsa""]",0,1
Quick N Easy Grits and Veggie Omelet,Make and share this Quick N Easy Grits and Veggie Omelet recipe from Food.com.,"c(""1/4"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"")","c(""quick-cooking grits"", ""water"", ""bell pepper"", ""celery"", ""mushroom"", ""onion"", ""fresh ground black pepper"")",,,93.0,0.4,0.1,0.0,34.7,18.6,1.4,0.7,4.0,2.0,,"c(""Chop vegetables. Plan ahead and stock a few plastic containers in your fridge with a supply of chopped veggies you use frequently. When you need them they are ready."", ""Break egg in a bowl, use a strainer spoon to remove yolk."", ""Mix all ingredients in a microwave-safe bowl."", ""Cook in microwave on High for about 4 to 5 minutes."", ""Serve with a few 1/2 slice of turkey bacon and a few slices of fresh fruit."")","[""1/4  cup    quick-cooking grits, NOT instant "",""1   cup    water"",""1       egg white"",""1   tablespoon    bell pepper, chopped "",""1   tablespoon    celery, chopped "",""1   tablespoon    mushroom, chopped "",""1   tablespoon    onion, chopped "",""1   tablespoon    fresh ground black pepper"",""1   tablespoon    Mrs. Dash seasoning mix, Original Blend ""]","[""grits"", ""water"", ""egg"", ""bell pepper chopped"", ""celery chopped"", ""mushroom chopped"", ""onion chopped"", ""fresh ground black pepper"", ""seasoning mix""]",0,1
Mexican Omelette,Make and share this Mexican Omelette recipe from Food.com.,"c(""3"", ""3"", ""3"", ""1/4"", NA, ""4"", ""2"")","c(""eggs"", ""bell peppers"", ""green onions"", ""tomatoes"", ""salsa"", ""sour cream"")",4.0,1.0,327.4,20.3,7.9,645.1,1020.8,14.9,3.6,7.6,22.6,1.0,,"c(""Mix together all ingredients, except taco seasoning."", ""Pour into heated skillet and cook until done on one side, sprinkle generously with taco seasoning, flip over and cook other side, season other side."", ""Fold over if thin enough."", ""Serve with your favorite breakfast side and salsa and sour cream."")","[""3       eggs, beaten "",""3   tablespoons    bell peppers, chopped "",""3   tablespoons    green onions, chopped "",""1/4  cup    tomatoes, chopped "",""  taco seasoning, to taste "",""4   tablespoons    salsa (to taste)"",""2   tablespoons    sour cream (to taste)""]","[""bell peppers chopped"", ""green onions chopped"", ""tomatoes chopped"", ""taco seasoning"", ""salsa"", ""sour cream""]",0,1
Salsa &amp; Cheese Omelette,"I make this at work, you can add the peppers and green onion to &quot;freshen&quot; up the salsa a little or just use straight jarred salsa. Use your favorite salsa.","c(""3"", ""1/4"", ""3"", ""3"", ""3"")","c(""eggs"", ""salsa"", ""green peppers"", ""green onions"", ""cheddar cheese"")",,,331.7,21.8,9.0,655.9,728.6,8.2,2.0,4.4,25.5,1.0,,"c(""Spread beaten eggs into a heated pan and cook one side, flip over and cook the other side."", ""Meanwhile, mix together salsa, peppers and green onion if using."", ""Top eggs with salsa mixture and cheddar cheese.  Off to one side."", ""Fold over eggs, and cook until cheese is melted, if you want to eat right away then add a little water and cover pan with a lid."", ""Serve with your favorite breakfast side."")","[""3       eggs, beaten "",""1/4  cup    salsa (to taste)"",""3   tablespoons    green peppers, chopped "",""3   tablespoons    green onions, chopped "",""3   tablespoons    cheddar cheese (to taste)""]","[""salsa"", ""green peppers chopped"", ""green onions chopped"", ""cheddar cheese""]",0,1
"Mozzarella Omelette (Egg Whites, Low-Cal, Healthy, Breakfast, Fa","I made this omelette for my Grandmother today and she loved it. I'm making her healthier breakfasts daily so she can steer clear of the sugar cereals. This doesn't take much longer than cereal, either!","c(""2"", ""1/8"", ""1/4"", ""1"", NA, NA)","c(""skim milk"", ""part-skim mozzarella cheese"", ""olive oil"", ""salt"", ""pepper"")",3.0,1.0,230.7,13.7,6.4,36.9,478.8,3.8,0.0,1.1,22.2,1.0,,"c(""Whisk together egg whites and skim milk in a medium bowl. Add salt or pepper to mixture if desired."", ""Pour olive oil onto non-stick skillet and put on medium heat for a few seconds."", ""Pour egg mixture into skillet and allow approximately 4 minutes to cook. Once the egg mixture is off white and there is no liquid in the center, add cheese to the top and allow it to melt."", ""Once the cheese is melted, flip one side of the omelette to the other side, and voila!"", ""Serve with toast, fruit, yogurt, or as-is.""
)","[""2       egg whites"",""1/8  cup    skim milk"",""1/4  cup    part-skim mozzarella cheese"",""1   teaspoon    olive oil"",""  salt"",""  pepper""]","[""egg whites"", ""skim milk"", ""skim mozzarella cheese"", ""olive oil""]",0,1
My Egg White Fruit Omelet,Make and share this My Egg White Fruit Omelet recipe from Food.com.,"c(""2"", ""2"", ""1"", ""1"", ""1/4"", ""1"")","c(""sugar substitute"", ""non-fat vanilla yogurt"", ""nectarine"", ""sugar-free maple syrup"", ""cinnamon"")",3.0,1.0,107.4,0.6,0.1,0.0,110.2,18.4,3.5,12.9,8.8,1.0,1 omelet,"c(""For stuffing dice the nectarine and mix with maple syrup and cinnamon."", ""Put into microwave safe dish, cover, and microwave on high for 1 minute. Stir."", ""Microwave another minute. The mixture should resemble pretty much mush now."", ""For omelet, beat together omelet ingredients until frothy."", ""Heat nonstick skillet and spray with non-stick spray."", ""Pour into skillet."", ""When it is set, put half of the topping on and fold."", ""Put on plate and top with the other half."", ""Enjoy."")","[""2       egg whites"",""2 (1   g) packets   sugar substitute"",""1   tablespoon    non-fat vanilla yogurt"",""1       nectarine"",""1/4  cup    sugar-free maple syrup"",""1   teaspoon    cinnamon""]","[""egg whites"", ""sugar substitute"", ""fat vanilla yogurt"", ""nectarine"", ""sugar free maple syrup"", ""cinnamon""]",0,1
Baked Vegetable Omelet,This is more filling than your average omelet. It goes great with salad and toast. A small food processor can really speed up the preparation (although I still prefer to shred the zucchini by hand).,"c(""3"", ""1"", ""4"", ""1"", ""1/4"", ""2"", ""1/4"", ""2"", ""1/2"", NA, ""1"")","c(""carrots"", ""zucchini"", ""eggs"", ""cheddar cheese"", ""parsley"", ""shallots"", ""whole wheat flour"", ""wheat germ"", ""salt"", ""pepper"", ""butter"", ""margarine"")",5.0,1.0,282.7,17.9,9.5,248.8,596.5,15.2,3.3,3.5,16.5,4.0,,"c(""Preheat oven to 375°F Shred vegetables on a course grater or in a food processor. Squeeze as much moisture as possible from zucchini."", ""In a large bowl beat eggs, then mix in vegetables and remaining ingredients except for butter."", ""Grease a 9- or 10-inch casserole or deep glass pie pan. Fill with egg mixture, dot with butter and bake about 30 minutes until firm."", ""Let cool 5 minutes before cutting. This dish is best served warm, not hot."")","[""3   medium    carrots (about 1/2 pound)"",""1   medium    zucchini"",""4       eggs"",""1   cup   shredded cheddar cheese"",""1/4  cup   minced parsley"",""2   tablespoons   chopped shallots"",""1/4  cup    whole wheat flour"",""2   tablespoons    wheat germ"",""1/2  teaspoon    salt"",""  pepper, to taste "",""1   tablespoon    butter or 1   tablespoon    margarine""]","[""medium carrots"", ""medium zucchini"", ""shredded cheddar cheese"", ""minced parsley"", ""chopped shallots"", ""whole wheat flour"", ""wheat germ"", ""pepper"", ""butter margarine""]",0,1
Baked Omelet,Make and share this Baked Omelet recipe from Food.com.,"c(""18"", ""1"", ""1"", ""1"", ""1"", ""1/4"", ""2"", ""2"", ""1/2"")","c(""eggs"", ""milk"", ""sour cream"", ""salt"", ""pepper"", ""butter"", ""cheddar cheese"", ""onion"")",3.0,1.0,328.9,26.8,14.0,430.2,555.7,3.1,0.0,0.8,18.5,10.0,,"c(""Fry the Jimmy Dean Sausage and drain off grease."", ""Melt butter in bottom of 9x13 inch pan. (Place in oven to melt the butter)."", ""Beat eggs, add remaining ingredients and pour on top of the butter."", ""Bake at 325 for 40-50 minutes or until egg mixture is firm in center."")","[""18       eggs"",""1   cup    milk"",""1   cup    sour cream"",""1   teaspoon    salt"",""1   dash    pepper"",""1/4  cup    butter"",""2   cups    Jimmy Dean sausage"",""2   cups   grated cheddar cheese"",""1/2  cup   chopped onion""]","[""milk"", ""sour cream"", ""Jimmy Dean sausage"", ""grated cheddar cheese"", ""chopped onion""]",0,1
Tex Mex Spanish Omelet,Make and share this Tex Mex Spanish Omelet recipe from Food.com.,"c(""4"", ""1"", ""1"", ""1"", NA, ""1/4"", ""3/4"", ""1/4"", ""1/4"", ""2"", ""1"")","c(""eggs"", ""fresh cilantro"", ""salt"", ""cumin"", ""cheddar cheese"", ""swiss cheese"", ""frozen whole kernel corn"", ""red onions"", ""fresh cilantro"")",,,229.8,14.5,5.8,435.6,304.0,7.7,1.3,2.1,17.3,2.0,,"c(""In Med. bowl beat eggs, cilantro, salt, and cumin with whisk or beater till frothy."", ""Coat an unheated 10 inch skillet with cooking spray, heat skillet over med. heat till hot."", ""Pour egg mixture in prepared skillet. Cook, without stirring, till eggs begin to set on the bottom and around edges. Run a spatula around the edges of skillet lifting egg mixture so uncooked portion flows underneath. Continue cooking and lifting until egg mixture is almost set."", ""Sprinkle with cheese. Top with  3/4 the spinach and 1/2 of the corn pepper relish (see below for recipe). Using the spatula lift and fold an edge of the omelet partially over fillling. Top with remaining spinach and relish."", 
""Corn Pepper Relish Recipe:"", ""In small bowl mix red pepper, corn, red onion and cilantro."")","[""4       eggs"",""1   tablespoon    fresh cilantro"",""1   dash    salt"",""1   dash    cumin"",""  cooking spray"",""1/4  cup    cheddar cheese or 1/4  cup    swiss cheese"",""3/4  cup    spinach leaves"",""1/4  cup   chopped sweet red pepper"",""1/4  cup    frozen whole kernel corn, thawed "",""2   tablespoons   chopped red onions"",""1   tablespoon    fresh cilantro""]","[""fresh cilantro"", ""cumin"", ""spray"", ""cheddar cheese swiss cheese"", ""spinach leaves"", ""chopped sweet red pepper"", ""frozen whole kernel corn"", ""chopped red onions"", ""fresh cilantro""]",0,1
Stuffed Thai Omelets,Make and share this Stuffed Thai Omelets recipe from Food.com.,"c(""2"", ""1/2"", ""2"", ""1"", ""2"", ""2"", ""2"", ""1"", NA, NA, NA, ""6"", ""1"", ""2"")","c(""butter"", ""garlic cloves"", ""onion"", ""ground pork"", ""fish sauce"", ""tomatoes"", ""fresh cilantro"", ""ground black pepper"", ""cilantro"", ""red chile"", ""eggs"", ""fish sauce"", ""butter"")",,,508.0,41.0,20.1,702.9,2471.6,11.5,2.0,6.9,24.1,,,"c(""Heat the butter and oil in a wok, add the garlic and onion, and cook until it is soft."", ""Stir in the fish sauce, tomatoes, and pepper with the pork.  Simmer until slightly thickened, and then add the cilantro."", ""To make the omelettes; whisk the eggs and fish sauce together.  Heat 1 tbsp of the butter in a non-stick frying pan.  Add half the beaten egg and tilt the pan to make the egg spread out into an even shape."", ""Cook until just set then spoon half of the filling into the center.  Fold into a neat square parcel by bringing the opposite sides of the omelette toward towards one another, first the top and bottom and then the right and left."", 
""Carefully invert the parcel on to a warm serving plate.  Make a second parcel with the remaining egg and pork mixture."", ""Either cut each in half, or serve 1 whole per person.  Sprinkle with fresh cilantro and chilis."")","[""2   tablespoons    butter"",""1/2  teaspoon    vegetable oil"",""2       garlic cloves"",""1   small    onion, minced "",""2   cups    ground pork"",""2   tablespoons    fish sauce"",""2       tomatoes, peeled and chopped "",""1   tablespoon   chopped fresh cilantro or 1   tablespoon    coriander"",""  ground black pepper"","" srigs cilantro (corriander)"",""  red chile, thinly sliced "",""6       eggs"",""1   tablespoon    fish sauce"",""2   tablespoons    butter""]","[""vegetable oil"", ""garlic cloves"", ""onion minced"", ""pork"", ""fish sauce"", ""tomatoes"", ""chopped fresh cilantro coriander"", ""black pepper"", ""srigs cilantro corriander"", ""chile"", ""fish sauce""]",0,1
Philly Steak &amp; Cheese Omelette,"DH was hungry for an omelette the other day and asked if I would make him one with Steak-Um, cream cheese and onions.  I thought it was an odd combo but that was what he was craving.  I have to say, it was to DIE for.  He ate the first one and then asked for another.  I told him I didn't think it was normal to eat 6 eggs in one day.  DH likes thin omelettes so this recipe is made in our large skillet and will yield a thin omelette.  If you like a thicker omelette, use a small skillet.","c(""3"", ""3"", ""1/3"", ""4"", ""1"")","c(""eggs"", ""cream cheese"", ""onion"", ""butter"")",5.0,2.0,1188.7,102.1,47.4,871.9,574.5,7.7,0.8,3.5,59.7,1.0,1 omlette,"c(""In a large skillet, heat the butter on medium-high heat."", ""Add onions and cook until tender/translucent.  Transfer to small bowl."", ""Add the cream cheese to the onions in the bowl."", ""In the same large skillet, cook the Steak-ums (about 3-4 minutes or until cooked through."", ""Strain the meat and add to the bowl with the onions and cream cheese.  Mix well softening the cream cheese so it spreads easily."", ""Whip the eggs."", ""Wipe out the large skillet after cooking the steak and spray with Pam (you can use butter too) and heat on medium heat."", 
""Add your eggs and cook until the eggs on the top are almost cooked."", ""Add the steak & cheese mixture to one side of the eggs.  Fold over the side of the eggs on top of the mixture.  Cook a minute or two and then flip."", ""Season with salt and pepper to your desire."")","[""3       eggs"",""3   tablespoons    cream cheese"",""1/3  cup    onion, chopped "",""4   slices    Steak-ums"",""1   tablespoon    butter""]","[""cream cheese"", ""onion""]",0,1
Asparagus Omelette,Make and share this Asparagus Omelette recipe from Food.com.,"c(""1"", ""1"", ""8"", ""4"", ""1/2"")","c(""asparagus"", ""swiss cheese"", ""eggs"", ""butter"", ""salt"")",,,308.2,21.5,10.4,457.9,525.4,6.9,2.3,2.6,22.6,4.0,,"c(""In a medium bowl, bring asparagus and 2 cups of water to a boil. Reduce heat to shimmer and allow asparagus to cook until tender. Drain and rinse asparagus in warm water. Set aside."", ""In a medium bowl, beat eggs with salt and 1/3 cup of water."", ""For each omelette (this recipe should make 4)do the following:."", ""Prepare a medium skillet or frying pan at medium heat with a teaspoon of melted butter. Pour 1/2 cup of the egg mixture into the pan. Cook until egg is set, occasionally lifting the edges of the omelette to allow one more egg to cook. On one half of the omelette, sprinkle 1/4 cup of Swiss chesse. Top cheese with 1/4 cup of asparagus. Fold the omelet over. Allow to cook 1 more minute. Slide omelette onto serving plate. Sprinkle with salt amd pepper to taste. Garnish with parsley.""
)","[""1   lb    asparagus, trimmed  (about 1 cup)"",""1   cup   shredded swiss cheese"",""8   large    eggs"",""4   teaspoons    butter"",""1/2  teaspoon    salt""]","[""asparagus"", ""shredded swiss cheese""]",0,1
Vegetable and Herb Baked Omelette,"Nearly a quiche, almost an omelette, this loaf/slice is great for picnics, lunchboxes and more.  The tomato and onion garnish finishes it off nicely.","c(""1/4"", ""1/3"", ""3"", ""3"", ""2"", ""1/4"", ""2"", ""8"", ""150"", NA, NA)","c(""long grain rice"", ""olive oil"", ""leeks"", ""zucchini"", ""garlic cloves"", ""mint"", ""dill"", ""eggs"", ""feta cheese"", ""red onion"", ""tomatoes"")",4.0,1.0,344.2,24.3,7.5,304.2,393.1,17.9,2.3,5.0,14.5,6.0,,"c(""Preheat oven to 180."", ""Grease a loaf pan or slice tray."", ""Cook rice in boiling, salted water until tender, about 8 minutes, drain."", ""Heat 2 tbs olive oil in saucepan, add leek and cook over low heat for 7-8 minutes or until softened.  Add zucchini and garlic and cook a further 2-3 minutes. Allow to cool slightly."", ""Add rice, mint, dill, eggs and feta.  Season, mix, then pour into baking dish."", ""The loaf tin should bake for 30 minutes or until golden and set.  A slice tray would take less time, but I've not tried that!"", 
""Toss onion and tomato in remaining olive oil."", ""Serve hot, cold or at room temperature (my favourite) with a helping of the onion/tomato mix and a green salad."")","[""1/4  cup    long grain rice"",""1/3  cup    olive oil"",""3       leeks, white part only, thinly sliced "",""3       zucchini, coarsely grated "",""2       garlic cloves, crushed "",""1/4  cup    mint, chopped "",""2   tablespoons    dill, chopped "",""8       eggs, beaten "",""150   g    feta cheese, drained and crumbled "","" sliced red onion, to serve "",""  tomatoes, to serve ""]","[""grain rice"", ""olive oil"", ""leeks"", ""zucchini"", ""garlic cloves"", ""mint chopped"", ""dill chopped"", ""feta cheese"", ""red onion"", ""tomatoes""]",0,1
Mozzarella Cheese Omelette on a Roll,Make and share this Mozzarella Cheese Omelette on a Roll recipe from Food.com.,"c(""2"", NA, NA, ""3"", ""1"")","c(""mozzarella cheese"", ""butter"", ""eggs"")",3.0,1.0,560.9,30.3,12.6,680.2,882.5,32.5,1.3,2.8,37.3,,,"c(""First use the butter to grease the pan."", ""Crack three eggs into a bowl (no need to use yolk if you don't like it, but that's me)."", ""Pour the eggs onto the pan and set the stove for about medium heat."", ""Add pieces of mozzarella cheese to the egg and some salt and pepper."", ""Fry the egg like a normal easy over egg."", ""After the egg is done butter a hard roll and place pieces of mozzarella on the roll then put the egg in the roll and you're done! Enjoy!"")","[""2   slices    mozzarella cheese"",""  butter"",""  salt and pepper"",""3       eggs"",""1      round roll""]","[""mozzarella cheese"", ""salt pepper""]",0,1
French Onion Omelet,Make and share this French Onion Omelet recipe from Food.com.,"c(""1"", ""2"", ""1/4"", ""2"", ""1/4"", ""2"", ""1/2"", ""6"", ""1/4"", ""1/4"", ""1/4"", ""1"")","c(""olive oil"", ""red onions"", ""shallot"", ""sugar"", ""green onion"", ""Dijon mustard"", ""dried thyme"", ""eggs"", ""water"", ""salt"", ""white pepper"", ""swiss cheese"")",4.0,1.0,192.7,12.3,5.1,228.1,222.7,8.7,1.0,4.5,11.8,6.0,,"c(""In a 10-inch ovenproof skillet heat oil over medium heat."", ""Add red onion, shallots (if desired, and sugar. Cook for 12 to 15 minutes or until tender and golden, stirring often."", ""Remove 1/4 cup cooked onion mixture and set aside."", ""Stir green onion, mustard, and thyme into skillet."", ""In a bowl beat together eggs, water, salt, and pepper."", ""Stir in 1/3 cup of the cheese."", ""Pour into skillet."", ""Bake in a 375°F for 15 minutes or until set."", ""Top with remaining cheese and reserved onion mixture."", 
""Cut into wedges."", ""Makes 6 main-dish servings."")","[""1   tablespoon    olive oil"",""2   cups   coarsely chopped red onions"",""1/4  cup   chopped shallot"",""2   teaspoons    sugar"",""1/4  cup   sliced green onion"",""2   teaspoons    Dijon mustard"",""1/2  teaspoon    dried thyme, crushed "",""6       eggs"",""1/4  cup    water"",""1/4  teaspoon    salt"",""1/4  teaspoon    white pepper"",""1   cup   shredded swiss cheese (4 ounces)""]","[""olive oil"", ""chopped red onions"", ""chopped shallot"", ""sliced green onion"", ""Dijon mustard"", ""dried thyme"", ""white pepper"", ""shredded swiss cheese""]",0,1
Oven Omelet,The most simple omelet you could ever make.  My mom gave me this recipe when I moved out.  I use it at least 1x a week.  My roommates LOVE it!,"c(""6"", ""1/2"", ""1"", ""1/4"", ""1/4"", ""1"", NA)","c(""eggs"", ""milk"", ""cheese"", ""fresh mushrooms"", ""green pepper"", ""fresh onion"")",5.0,25.0,303.3,20.3,9.8,401.8,526.8,7.9,0.4,1.4,21.7,3.0,,"c(""Whip eggs and milk together.  Add in rest of ingredients."", ""Pour into round casserole dish --> or pie dish."", ""Cook at 350 for 20-25 minutes."", ""Can also add meats like bacon, sausage, or ham.  Also chopped tomatoes are good in this recipe --> just make sure you take all the gunk out (seeds). Asparagus lovers just chop and throw in, mighty tasty."", ""Many different variations to this recipe."")","[""6       eggs"",""1/2  cup    milk"",""1   cup   shredded cheese (whatever you have in your fridge)"",""1/4  cup   sliced fresh mushrooms"",""1/4  cup   diced green pepper"",""1   tablespoon    dried onion or 1   tablespoon    fresh onion, if you prefer "",""  salt and pepper""]","[""milk"", ""shredded cheese"", ""sliced fresh mushrooms"", ""green pepper"", ""dried onion fresh onion"", ""salt pepper""]",0,1
Fresh Tasting Omelette,We cooked these in Little Rock last Easter while visiting my sisters and really enjoyed 'em. Excluding cheese for us brings a different taste to these omelets that we like.,"c(""2"", ""1"", ""1"", ""1 1/2"", ""3"", ""1/2"", NA, NA, NA)","c(""eggs"", ""milk"", ""tomatoes"", ""smoked ham"", ""button mushrooms"", ""butter"", ""fresh basil"", ""salt"", ""pepper"")",5.0,1.0,358.6,26.7,12.1,482.8,963.2,5.9,1.4,3.7,24.3,1.0,,"c(""In small skillet, melt 1 pat butter"", ""add ham, tomato and mushrooms."", ""Cook for about 3 minutes until mushroom softens and season with salt and pepper and basil."", ""crack eggs into a bowl and add a splash of milk. Mix well."", ""Heat a 10 inch non-stick skillet over medium flame. Add 2 pats of butter. Add the eggs and spread by tipping the pan until the bottom is evenly covered. Let the eggs set over medium heat. After 30 seconds or so, start shaking the pan occasionally so the eggs slide around and don't stick."", 
""When the eggs are set (don't brown the omelet), add the filling in a line down the middle of the pan."", ""Use a plastic spatula to fold a third of the omelet over the filling and remove the pan."", ""Tip the pan until the omelet slides onto a plate and use the edge of the pan to fold the last 1/3 of the omelet over the filling, until the omelet looks like a tube on the plate."", ""Season lightly with salt and pepper and garnish with basil."", ""Add some toast and you're done."")","[""2   large    eggs"",""1   dash    milk"",""1   small    tomatoes, sliced "",""1 1/2  ounces    smoked ham, diced "",""3       button mushrooms, sliced "",""1/2  ounce    butter (three pats)"",""  fresh basil, chopped "",""  salt"",""  pepper""]","[""tomatoes"", ""smoked ham"", ""button mushrooms"", ""butter"", ""basil chopped""]",0,1
Omelet Foo Yung,"This omelet recipe looked like an interesting take on traditional omelet fillings.  Would make a different entree for brunch!  Taken from &quot;The Ultimate Cooking Course&quot;, 2003.","c(""1"", ""1/2"", ""1/4"", ""2"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""1 1/2"", ""1 -2"", ""8 -12"", NA, ""4 -6"")","c(""scallion"", ""celery"", ""fresh ginger"", ""garlic clove"", ""small shrimp"", ""cooked ham"", ""fresh cilantro"", ""soy sauce"", ""eggs"", ""butter"")",,,311.3,26.4,11.5,461.5,485.7,2.6,0.5,1.3,15.8,4.0,,"c(""Heat oil in frying pan over med heat.  Add scallions, celery, ginger, and garlic; cook 1 minute, stirring frequently."", ""Add shrimp, crabmeat, and ham.  Sprinkle with cilantro and soy sauce.  Reduce heat to low and leave mixture to heat through; stirring occasionally."", ""Meanwhile, make 4 omelets:  using 2-3 eggs for each, season and cook each in 1-1 1/2 tablespoons butter."", ""Before rolling or folding each omelet, spoon 1/4 of the meat mixture into center."", ""Serve hot, with add'l soy sauce for sprinkling.""
)","[""1   tablespoon    peanut oil or 1   tablespoon    vegetable oil"",""1/2  cup    scallion, chopped "",""1/4  cup    celery, diced "",""2   teaspoons    fresh ginger, minced "",""1       garlic clove, minced "",""1/2  cup    small shrimp, shelled \u0026 cooked "",""1/2  cup    crabmeat"",""1/4  cup    cooked ham, diced "",""1 1/2  tablespoons    fresh cilantro, chopped "",""1 -2   tablespoon    soy sauce, plus add\u0027l for serving "",""8 -12       eggs"",""  salt \u0026 pepper"",""4 -6   tablespoons    butter""]","[""peanut oil vegetable oil"", ""scallion"", ""celery"", ""fresh ginger minced"", ""garlic clove minced"", ""small shrimp"", ""crabmeat"", ""cooked ham"", ""fresh cilantro chopped"", ""soy sauce"", ""salt pepper""]",0,1
Easy Sausage Omelette,Make and share this Easy Sausage Omelette recipe from Food.com.,"c(""4"", ""6"", NA)","""eggs""",,,110.2,7.5,2.3,317.2,105.0,0.6,0.0,0.6,9.4,4.0,,"c(""Beat eggs until well combined."", ""Place in greased heated skillet and let cook."", ""Place sausage patty on top and flip."", ""Cook until sausage is done."")","[""4       sausage patties"",""6       eggs"",""  salt and pepper""]","[""sausage patties"", ""salt pepper""]",0,1
