burger_name,burger_type,treatment_condition,overall_liking,sensory_hardness,sensory_chewiness,sensory_moistness,sensory_fibrousness,sensory_meatiness,sensory_fattiness,sensory_tastiness,sensory_softness,jar_moistness,jar_chewiness,jar_savoriness,jar_fattiness,jar_fibrousness
Bean,Plant,Treatment,2,61.0,80.0,36.0,75.0,,29.0,78.0,53.0,2,2,2,2,2
Beef,Animal,Control,1,28.0,40.0,52.0,0.0,100.0,49.0,100.0,81.0,2,2,2,2,2
Beef,Animal,Treatment,2,42.0,70.0,32.0,0.0,92.0,83.0,64.0,68.0,2,3,1,2,3
Beef,Animal,Control,6,71.0,50.0,25.0,49.0,20.0,75.0,21.0,24.0,1,3,1,1,1
Bean,Plant,Treatment,2,34.0,63.0,33.0,63.0,14.0,16.0,82.0,83.0,2,2,2,2,3
Turkey,Animal,Treatment,6,70.0,71.0,22.0,67.0,57.0,31.0,19.0,27.0,1,1,1,1,1
Beef,Animal,Treatment,2,52.0,77.0,72.0,76.0,100.0,47.0,46.0,41.0,2,2,2,1,2
Beyond,Plant,Treatment,7,33.0,32.0,15.0,40.0,22.0,16.0,10.0,34.0,1,3,1,1,2
Beef,Animal,Treatment,2,69.0,79.0,84.0,74.0,88.0,62.0,77.0,71.0,2,2,2,2,1
Bean,Plant,Treatment,3,30.0,35.0,40.0,40.0,50.0,32.0,60.0,71.0,2,1,2,2,1
Turkey,Animal,Treatment,2,78.0,82.0,85.0,72.0,79.0,83.0,75.0,80.0,2,1,2,1,2
Turkey,Animal,Treatment,2,82.0,58.0,40.0,61.0,80.0,34.0,75.0,38.0,1,3,2,1,2
Beyond,Plant,Control,6,61.0,51.0,67.0,34.0,50.0,69.0,67.0,42.0,3,3,2,2,2
Bean,Plant,Control,3,24.0,54.0,25.0,51.0,23.0,26.0,53.0,29.0,1,2,1,1,2
Beef,Animal,Control,2,62.0,76.0,81.0,71.0,86.0,58.0,73.0,65.0,2,2,2,2,1
Beef,Animal,Control,5,36.0,51.0,68.0,50.0,98.0,75.0,53.0,53.0,2,2,2,3,3
Beef,Animal,Treatment,6,30.0,82.0,75.0,39.0,70.0,72.0,62.0,48.0,1,1,1,1,1
Beef,Animal,Treatment,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Beef,Animal,Control,1,26.0,25.0,69.0,56.0,100.0,20.0,84.0,63.0,1,2,2,2,2
Bean,Plant,Control,2,53.0,77.0,24.0,81.0,,18.0,74.0,42.0,1,2,1,2,2
Bean,Plant,Treatment,3,62.0,70.0,22.0,77.0,27.0,9.0,89.0,80.0,2,2,2,2,2
Turkey,Animal,Control,3,28.0,40.0,51.0,51.0,38.0,38.0,40.0,41.0,1,1,1,1,2
Beyond,Plant,Treatment,3,50.0,65.0,46.0,35.0,76.0,62.0,73.0,26.0,2,2,2,2,2
Beyond,Plant,Treatment,4,46.0,82.0,73.0,35.0,83.0,91.0,57.0,54.0,2,3,2,2,2
Beyond,Plant,Treatment,4,46.0,47.0,45.0,42.0,60.0,58.0,67.0,49.0,2,2,2,3,2
Beyond,Plant,Treatment,6,42.0,38.0,34.0,27.0,52.0,48.0,31.0,21.0,1,1,1,1,3
Beef,Animal,Treatment,5,29.0,55.0,89.0,33.0,80.0,36.0,79.0,59.0,2,2,3,3,2
Turkey,Animal,Treatment,3,34.0,31.0,29.0,42.0,61.0,12.0,56.0,22.0,2,2,2,1,2
Beef,Animal,Control,3,29.0,19.0,22.0,23.0,28.0,46.0,58.0,29.0,2,2,2,2,2
Beyond,Plant,Control,5,45.0,42.0,45.0,52.0,36.0,69.0,49.0,38.0,2,1,2,3,2
Beef,Animal,Treatment,3,58.0,58.0,75.0,28.0,85.0,57.0,83.0,42.0,3,2,2,2,2
Turkey,Animal,Control,2,54.0,62.0,38.0,41.0,80.0,36.0,71.0,41.0,1,2,1,2,2
Bean,Plant,Control,2,30.0,79.0,36.0,79.0,32.0,21.0,78.0,66.0,2,2,2,1,2
Bean,Plant,Control,5,74.0,52.0,57.0,58.0,82.0,36.0,48.0,46.0,1,2,2,1,1
Beyond,Plant,Treatment,6,43.0,36.0,37.0,26.0,53.0,46.0,32.0,21.0,1,1,1,1,3
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Beef,Animal,Control,4,45.0,72.0,76.0,54.0,46.0,83.0,57.0,55.0,2,2,3,2,2
Beef,Animal,Treatment,1,58.0,73.0,73.0,42.0,92.0,75.0,90.0,54.0,2,2,2,2,2
Beyond,Plant,Treatment,4,61.0,63.0,66.0,60.0,64.0,58.0,62.0,60.0,2,1,2,2,3
Beef,Animal,Control,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Bean,Plant,Treatment,7,44.0,20.0,28.0,58.0,11.0,12.0,5.0,29.0,1,1,1,2,2
Beef,Animal,Treatment,2,65.0,54.0,25.0,19.0,75.0,36.0,59.0,26.0,1,2,2,1,2
Beef,Animal,Control,2,74.0,76.0,79.0,71.0,77.0,73.0,75.0,72.0,2,2,2,2,2
Beyond,Plant,Treatment,6,45.0,34.0,40.0,29.0,55.0,50.0,34.0,24.0,1,1,1,1,3
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Bean,Plant,Control,2,34.0,59.0,44.0,60.0,17.0,15.0,83.0,32.0,2,2,2,2,2
Bean,Plant,Control,6,86.0,50.0,26.0,64.0,26.0,73.0,28.0,39.0,1,1,1,1,2
Beyond,Plant,Treatment,2,44.0,52.0,75.0,48.0,62.0,79.0,76.0,40.0,2,2,2,3,2
Beyond,Plant,Control,2,72.0,76.0,82.0,68.0,78.0,80.0,70.0,74.0,2,2,2,1,2
Beyond,Plant,Treatment,2,48.0,73.0,56.0,76.0,71.0,54.0,84.0,60.0,2,2,2,2,2
Beef,Animal,Treatment,2,26.0,20.0,66.0,4.0,89.0,22.0,92.0,67.0,2,2,1,1,2
Beyond,Plant,Control,3,67.0,70.0,72.0,65.0,69.0,66.0,71.0,68.0,2,2,2,2,2
Beyond,Plant,Control,3,37.0,83.0,79.0,49.0,78.0,75.0,74.0,54.0,2,2,3,3,2
Turkey,Animal,,3,40.0,50.0,42.0,51.0,39.0,50.0,28.0,50.0,3,2,2,2,3
Beyond,Plant,Control,3,49.0,64.0,69.0,50.0,72.0,74.0,57.0,65.0,2,2,2,2,2
Bean,Plant,Control,4,34.0,30.0,38.0,53.0,13.0,13.0,34.0,24.0,1,2,1,1,2
Bean,Plant,Treatment,3,49.0,74.0,77.0,76.0,62.0,56.0,49.0,44.0,2,1,2,2,1
Beyond,Plant,Treatment,2,27.0,74.0,46.0,52.0,54.0,56.0,60.0,61.0,2,2,2,3,2
Bean,Plant,Treatment,3,47.0,74.0,40.0,69.0,30.0,22.0,85.0,35.0,2,2,2,2,3
Beef,Animal,Treatment,2,65.0,78.0,84.0,73.0,88.0,62.0,77.0,69.0,2,2,2,2,1
Bean,Plant,Treatment,6,50.0,43.0,29.0,21.0,27.0,29.0,42.0,77.0,1,2,1,1,2
Beef,Animal,Control,4,50.0,60.0,40.0,51.0,91.0,71.0,50.0,50.0,2,2,1,3,2
Beyond,Plant,Treatment,6,38.0,19.0,48.0,26.0,54.0,22.0,35.0,74.0,3,2,2,2,2
Beef,Animal,Treatment,2,32.0,48.0,78.0,53.0,82.0,75.0,78.0,52.0,1,2,2,2,2
Beyond,Plant,Treatment,6,45.0,34.0,40.0,29.0,55.0,50.0,34.0,24.0,1,1,1,1,3
Beyond,Plant,Control,4,24.0,42.0,46.0,19.0,,42.0,52.0,26.0,1,2,2,1,2
Turkey,Animal,Treatment,2,72.0,75.0,78.0,74.0,77.0,73.0,80.0,76.0,2,2,2,1,2
Beef,Animal,Control,4,65.0,30.0,32.0,70.0,71.0,60.0,54.0,42.0,1,2,3,2,3
Beyond,Plant,Treatment,4,60.0,62.0,65.0,58.0,63.0,57.0,61.0,59.0,2,1,2,2,3
Beef,Animal,Control,3,38.0,33.0,47.0,51.0,46.0,41.0,39.0,46.0,2,2,2,2,2
Beyond,Plant,Treatment,4,36.0,39.0,24.0,37.0,35.0,31.0,45.0,35.0,1,2,2,1,2
Beyond,Plant,Control,5,,35.0,33.0,23.0,,32.0,43.0,41.0,1,1,1,1,2
Beef,Animal,Control,4,45.0,77.0,82.0,49.0,70.0,56.0,56.0,59.0,2,1,1,3,2
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Beef,Animal,Control,2,62.0,81.0,85.0,71.0,87.0,63.0,78.0,65.0,2,2,2,2,1
Beef,Animal,Control,1,68.0,84.0,87.0,75.0,90.0,64.0,80.0,72.0,2,2,2,2,1
Beef,Animal,Treatment,2,66.0,72.0,46.0,38.0,100.0,47.0,59.0,59.0,2,2,2,2,2
Beyond,Plant,Control,6,26.0,59.0,50.0,58.0,20.0,62.0,35.0,52.0,1,3,2,2,3
Beyond,Plant,Control,5,38.0,42.0,35.0,45.0,40.0,52.0,37.0,43.0,1,3,1,1,3
Bean,Plant,Control,3,38.0,62.0,29.0,73.0,14.0,31.0,58.0,39.0,1,2,2,2,3
Beef,Animal,Treatment,3,46.0,63.0,46.0,54.0,50.0,,74.0,43.0,2,2,2,2,3
Bean,Plant,Control,2,34.0,55.0,33.0,66.0,18.0,,66.0,70.0,1,2,1,2,2
Turkey,Animal,Treatment,3,58.0,65.0,71.0,62.0,76.0,55.0,69.0,50.0,1,2,1,1,2
Turkey,Animal,Treatment,4,39.0,65.0,42.0,16.0,88.0,22.0,62.0,27.0,1,2,2,2,2
Turkey,Animal,Treatment,2,70.0,72.0,74.0,67.0,69.0,65.0,51.0,69.0,2,2,2,3,2
Turkey,Animal,Control,3,65.0,68.0,70.0,63.0,67.0,64.0,69.0,66.0,2,2,2,2,1
Beef,Animal,Control,1,49.0,55.0,46.0,45.0,83.0,54.0,84.0,40.0,1,2,2,2,2
Beef,Animal,Treatment,2,45.0,51.0,32.0,33.0,31.0,7.0,83.0,74.0,2,2,2,2,2
Turkey,Animal,Control,2,76.0,73.0,70.0,78.0,74.0,71.0,80.0,75.0,2,2,2,1,3
Beyond,Plant,Treatment,3,42.0,41.0,53.0,56.0,19.0,47.0,69.0,54.0,2,2,2,2,2
Bean,Plant,Control,1,66.0,79.0,68.0,54.0,68.0,60.0,61.0,48.0,2,2,3,2,2
Beef,Animal,Treatment,4,29.0,77.0,27.0,42.0,90.0,31.0,54.0,73.0,1,2,1,2,2
Bean,Plant,Treatment,3,43.0,36.0,48.0,42.0,47.0,48.0,66.0,59.0,2,2,2,2,2
Bean,Plant,Control,2,47.0,65.0,56.0,49.0,56.0,58.0,49.0,58.0,2,3,3,3,2
Beef,Animal,Control,3,48.0,39.0,36.0,61.0,60.0,29.0,61.0,38.0,1,2,1,2,2
Beef,Animal,Treatment,6,63.0,52.0,65.0,45.0,63.0,47.0,92.0,33.0,2,2,2,2,2
Turkey,Animal,Treatment,3,47.0,67.0,86.0,81.0,84.0,75.0,77.0,55.0,2,1,2,1,2
Turkey,Animal,Control,2,55.0,60.0,62.0,38.0,65.0,48.0,71.0,45.0,1,2,1,2,1
Bean,Plant,Treatment,2,25.0,29.0,52.0,30.0,28.0,25.0,59.0,62.0,2,1,1,1,1
Turkey,Animal,Control,3,70.0,72.0,75.0,68.0,73.0,69.0,71.0,68.0,2,2,2,2,2
Beef,Animal,Treatment,3,96.0,51.0,39.0,37.0,71.0,72.0,63.0,16.0,1,2,2,3,2
Beyond,Plant,Control,3,52.0,47.0,70.0,71.0,69.0,62.0,73.0,54.0,2,2,2,2,2
Beef,Animal,Treatment,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Beef,Animal,Treatment,3,61.0,42.0,100.0,44.0,22.0,72.0,30.0,90.0,1,2,2,2,3
Beef,Animal,Control,3,43.0,35.0,35.0,40.0,32.0,58.0,43.0,71.0,2,2,2,1,1
Beef,Animal,Treatment,2,41.0,28.0,72.0,44.0,79.0,15.0,98.0,71.0,2,2,2,2,2
Bean,Plant,Treatment,5,51.0,46.0,47.0,75.0,,26.0,28.0,27.0,2,3,3,1,2
Beef,Animal,Treatment,2,57.0,70.0,78.0,31.0,97.0,60.0,90.0,51.0,2,2,2,2,2
Beef,Animal,Control,3,51.0,70.0,52.0,23.0,54.0,78.0,34.0,61.0,2,2,2,3,1
Turkey,Animal,Treatment,3,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,2,2,2,2,2
Bean,Plant,Control,2,49.0,73.0,34.0,67.0,,17.0,68.0,50.0,1,2,1,1,2
Beef,Animal,Treatment,1,71.0,83.0,86.0,76.0,91.0,65.0,81.0,73.0,2,2,2,2,1
Beef,Animal,Control,2,60.0,51.0,59.0,55.0,59.0,60.0,64.0,61.0,2,2,2,2,2
Bean,Plant,Control,7,43.0,39.0,20.0,57.0,12.0,9.0,4.0,38.0,2,1,1,1,2
Beyond,Plant,Treatment,5,55.0,58.0,60.0,52.0,57.0,50.0,56.0,53.0,2,1,3,2,3
Turkey,Animal,Treatment,3,31.0,52.0,39.0,35.0,98.0,13.0,32.0,40.0,1,1,2,1,1
Bean,Plant,Treatment,5,33.0,25.0,26.0,25.0,31.0,19.0,20.0,13.0,1,1,1,2,2
Beyond,Plant,Control,4,66.0,76.0,71.0,40.0,74.0,66.0,61.0,44.0,2,2,2,2,2
Beef,Animal,Treatment,5,57.0,44.0,59.0,21.0,92.0,65.0,64.0,43.0,2,2,2,2,2
Turkey,Animal,Treatment,3,60.0,61.0,50.0,68.0,71.0,33.0,69.0,50.0,1,2,2,2,2
Beyond,Plant,Control,4,50.0,64.0,68.0,36.0,67.0,66.0,58.0,49.0,3,2,2,3,1
Beef,Animal,Treatment,2,73.0,73.0,73.0,73.0,85.0,74.0,77.0,65.0,2,2,3,2,2
Beef,Animal,Control,2,54.0,70.0,37.0,48.0,54.0,58.0,73.0,54.0,1,1,2,1,2
Beyond,Plant,Treatment,1,,56.0,65.0,73.0,61.0,20.0,60.0,64.0,2,2,1,1,2
Turkey,Animal,Control,2,48.0,41.0,76.0,66.0,52.0,7.0,35.0,47.0,2,3,1,2,2
Beyond,Plant,Treatment,5,63.0,66.0,54.0,33.0,38.0,53.0,49.0,47.0,1,3,2,3,2
Beyond,Plant,Treatment,6,34.0,38.0,25.0,10.0,,10.0,28.0,29.0,2,1,1,1,1
Beef,Animal,Treatment,3,51.0,69.0,60.0,32.0,58.0,50.0,53.0,36.0,1,2,2,2,2
Bean,Plant,Treatment,5,34.0,75.0,21.0,75.0,11.0,28.0,38.0,27.0,2,2,1,1,3
Bean,Plant,Control,6,70.0,81.0,14.0,83.0,,,82.0,49.0,1,3,3,1,2
Bean,Plant,Control,2,53.0,56.0,63.0,57.0,,20.0,33.0,29.0,2,1,1,1,3
Beef,Animal,Control,4,46.0,56.0,66.0,46.0,52.0,70.0,73.0,69.0,2,2,2,2,2
Beef,Animal,Control,2,62.0,76.0,81.0,71.0,86.0,58.0,74.0,65.0,2,2,2,2,1
Beef,Animal,Treatment,1,90.0,93.0,95.0,88.0,91.0,94.0,89.0,92.0,2,2,2,2,2
Beef,Animal,Treatment,3,27.0,29.0,68.0,19.0,38.0,62.0,73.0,67.0,2,2,1,2,1
Bean,Plant,Treatment,3,20.0,50.0,54.0,51.0,,18.0,58.0,38.0,1,2,1,1,3
Turkey,Animal,Control,3,56.0,79.0,28.0,79.0,100.0,27.0,54.0,50.0,1,2,2,1,3
Bean,Plant,Control,5,22.0,28.0,35.0,20.0,30.0,38.0,25.0,32.0,1,1,1,1,3
Turkey,Animal,Treatment,4,30.0,82.0,53.0,65.0,47.0,10.0,50.0,70.0,2,2,2,2,3
Bean,Plant,Treatment,5,39.0,71.0,31.0,86.0,16.0,21.0,59.0,73.0,1,3,2,2,3
Bean,Plant,Treatment,4,68.0,45.0,50.0,68.0,45.0,64.0,47.0,66.0,1,1,2,1,3
Bean,Plant,Treatment,1,51.0,85.0,40.0,91.0,0.0,31.0,89.0,24.0,2,2,2,2,2
Bean,Plant,Treatment,4,44.0,52.0,57.0,47.0,62.0,46.0,50.0,40.0,1,1,1,1,3
Bean,Plant,Treatment,2,47.0,59.0,47.0,48.0,50.0,34.0,61.0,45.0,2,2,2,2,2
Beef,Animal,Control,2,48.0,55.0,55.0,49.0,78.0,71.0,92.0,54.0,2,2,2,2,1
Turkey,Animal,Treatment,3,55.0,55.0,55.0,42.0,59.0,56.0,52.0,55.0,2,2,2,2,2
Beef,Animal,Treatment,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Bean,Plant,Control,1,84.0,87.0,92.0,80.0,88.0,91.0,83.0,86.0,2,2,2,2,2
Beyond,Plant,Control,3,44.0,23.0,81.0,54.0,57.0,55.0,47.0,53.0,2,2,2,3,2
Beyond,Plant,Control,4,68.0,59.0,58.0,55.0,82.0,66.0,65.0,64.0,3,2,2,2,2
Turkey,Animal,Control,3,52.0,62.0,68.0,58.0,73.0,50.0,62.0,45.0,1,2,1,2,2
Turkey,Animal,Control,3,51.0,64.0,55.0,51.0,77.0,40.0,57.0,54.0,1,3,2,2,2
Beyond,Plant,Treatment,6,59.0,37.0,39.0,39.0,45.0,45.0,59.0,48.0,2,2,2,2,3
Turkey,Animal,Control,5,41.0,34.0,23.0,48.0,44.0,32.0,24.0,33.0,1,3,3,3,1
Turkey,Animal,Control,6,82.0,88.0,23.0,70.0,73.0,24.0,32.0,51.0,1,1,2,1,1
Beyond,Plant,Treatment,6,45.0,34.0,40.0,29.0,55.0,50.0,34.0,24.0,1,1,1,1,3
Bean,Plant,Treatment,3,40.0,48.0,52.0,42.0,58.0,45.0,50.0,34.0,1,1,1,1,3
Bean,Plant,Control,2,62.0,83.0,10.0,45.0,19.0,15.0,95.0,35.0,2,2,2,2,2
Turkey,Animal,Treatment,4,57.0,51.0,48.0,55.0,67.0,79.0,51.0,43.0,2,2,2,2,2
Beyond,Plant,Treatment,6,43.0,39.0,41.0,41.0,22.0,15.0,12.0,20.0,1,2,1,1,2
Beef,Animal,Control,3,70.0,73.0,75.0,68.0,72.0,69.0,74.0,71.0,2,2,2,2,2
Bean,Plant,Control,5,38.0,34.0,20.0,27.0,17.0,25.0,16.0,53.0,1,1,2,1,1
Turkey,Animal,Control,4,79.0,79.0,29.0,77.0,67.0,27.0,76.0,53.0,2,3,2,1,2
Turkey,Animal,Control,3,33.0,55.0,37.0,61.0,74.0,19.0,71.0,55.0,1,2,2,2,2
Turkey,Animal,Treatment,5,26.0,50.0,32.0,17.0,19.0,34.0,72.0,29.0,1,1,2,2,1
Turkey,Animal,Treatment,5,47.0,53.0,32.0,22.0,55.0,19.0,55.0,29.0,1,2,2,1,2
Turkey,Animal,Control,6,50.0,21.0,16.0,12.0,55.0,21.0,15.0,23.0,1,1,1,1,1
Beyond,Plant,Control,2,68.0,70.0,72.0,65.0,69.0,64.0,67.0,71.0,2,2,3,2,2
Beef,Animal,Treatment,1,34.0,52.0,43.0,50.0,67.0,25.0,76.0,55.0,2,2,2,2,2
Turkey,Animal,Treatment,4,60.0,49.0,34.0,79.0,60.0,35.0,59.0,49.0,2,1,1,1,2
Beyond,Plant,Treatment,3,36.0,68.0,62.0,45.0,87.0,67.0,73.0,66.0,2,2,2,2,2
Beyond,Plant,Control,2,37.0,71.0,79.0,73.0,76.0,68.0,92.0,53.0,2,3,2,2,2
Beef,Animal,Treatment,4,75.0,25.0,21.0,50.0,50.0,23.0,63.0,25.0,1,2,1,2,2
Turkey,Animal,Treatment,2,38.0,76.0,60.0,63.0,60.0,60.0,81.0,41.0,2,2,2,1,2
Bean,Plant,Treatment,5,94.0,77.0,19.0,49.0,,,64.0,,1,3,2,1,3
Turkey,Animal,Control,3,50.0,33.0,14.0,20.0,46.0,15.0,56.0,13.0,1,2,2,1,1
Turkey,Animal,Control,4,46.0,55.0,34.0,68.0,47.0,50.0,61.0,42.0,2,1,1,1,2
Turkey,Animal,Control,2,57.0,59.0,49.0,50.0,47.0,35.0,65.0,36.0,2,3,2,2,2
Beyond,Plant,Treatment,4,33.0,54.0,41.0,46.0,63.0,44.0,51.0,60.0,2,2,1,1,2
Beyond,Plant,Treatment,4,56.0,57.0,39.0,61.0,71.0,49.0,50.0,36.0,1,2,2,3,2
Beyond,Plant,Control,2,39.0,63.0,84.0,39.0,82.0,75.0,72.0,67.0,2,3,3,2,2
Beyond,Plant,Treatment,6,28.0,32.0,45.0,38.0,30.0,52.0,41.0,35.0,1,1,1,1,3
Bean,Plant,Treatment,2,58.0,63.0,57.0,69.0,27.0,25.0,80.0,51.0,2,3,2,2,2
Beef,Animal,Treatment,2,40.0,40.0,50.0,50.0,100.0,30.0,70.0,65.0,2,2,2,2,2
Turkey,Animal,Treatment,3,23.0,39.0,28.0,15.0,49.0,14.0,45.0,21.0,1,2,2,1,1
Beef,Animal,Control,2,50.0,50.0,37.0,37.0,100.0,59.0,63.0,37.0,2,2,2,2,2
Beef,Animal,Treatment,2,19.0,39.0,59.0,36.0,54.0,15.0,80.0,82.0,1,2,1,2,2
Bean,Plant,Treatment,3,40.0,45.0,50.0,65.0,24.0,34.0,55.0,60.0,2,1,1,1,3
Beef,Animal,Treatment,3,62.0,40.0,39.0,50.0,34.0,35.0,43.0,28.0,2,2,1,2,2
Beef,Animal,Treatment,7,59.0,27.0,62.0,41.0,91.0,36.0,68.0,42.0,2,1,2,1,2
Turkey,Animal,Treatment,1,54.0,74.0,50.0,30.0,100.0,31.0,95.0,60.0,2,2,2,2,2
Beef,Animal,Control,2,65.0,79.0,83.0,73.0,89.0,60.0,76.0,69.0,2,2,2,2,1
Bean,Plant,Treatment,3,55.0,82.0,49.0,82.0,21.0,45.0,50.0,51.0,1,1,2,2,1
Turkey,Animal,Control,3,65.0,54.0,46.0,68.0,63.0,74.0,69.0,66.0,1,2,1,3,1
Turkey,Animal,Treatment,5,76.0,74.0,14.0,43.0,60.0,21.0,34.0,9.0,1,3,2,2,2
Beef,Animal,Treatment,1,22.0,35.0,84.0,31.0,100.0,58.0,100.0,80.0,2,2,2,2,2
Beyond,Plant,Control,4,56.0,61.0,59.0,68.0,30.0,73.0,53.0,32.0,2,3,2,2,2
Beef,Animal,Treatment,1,70.0,85.0,88.0,78.0,93.0,66.0,82.0,74.0,2,2,2,2,1
Turkey,Animal,Control,2,50.0,56.0,40.0,50.0,58.0,40.0,40.0,48.0,3,2,1,2,3
Beef,Animal,Treatment,5,44.0,59.0,41.0,34.0,71.0,72.0,55.0,57.0,2,2,2,3,2
Turkey,Animal,Treatment,2,34.0,40.0,65.0,90.0,56.0,74.0,56.0,65.0,2,2,2,2,3
Turkey,Animal,Treatment,4,48.0,31.0,21.0,49.0,100.0,10.0,51.0,21.0,1,1,2,2,2
Turkey,Animal,Treatment,3,66.0,70.0,74.0,62.0,68.0,72.0,64.0,67.0,2,2,1,2,2
Turkey,Animal,Treatment,3,62.0,67.0,72.0,58.0,65.0,70.0,60.0,64.0,2,2,1,1,2
Turkey,Animal,Treatment,2,55.0,68.0,42.0,34.0,81.0,28.0,82.0,71.0,1,2,1,2,2
Beef,Animal,Control,4,52.0,68.0,36.0,33.0,70.0,32.0,86.0,55.0,2,2,2,2,1
Beyond,Plant,Treatment,7,42.0,32.0,21.0,46.0,13.0,19.0,11.0,15.0,1,2,1,1,2
Beyond,Plant,Control,4,33.0,54.0,55.0,45.0,,61.0,71.0,46.0,2,2,3,3,2
Turkey,Animal,Control,2,55.0,44.0,58.0,64.0,100.0,26.0,43.0,53.0,2,2,2,2,2
Beyond,Plant,Treatment,4,51.0,62.0,90.0,61.0,67.0,74.0,73.0,90.0,3,2,2,2,2
Beef,Animal,Treatment,2,45.0,44.0,47.0,25.0,90.0,36.0,78.0,36.0,2,3,2,2,2
Turkey,Animal,Treatment,5,100.0,64.0,6.0,6.0,12.0,8.0,11.0,1.0,1,3,1,1,1
Turkey,Animal,Treatment,1,26.0,75.0,73.0,50.0,100.0,60.0,84.0,71.0,2,2,2,2,2
Turkey,Animal,Treatment,4,52.0,47.0,,52.0,44.0,37.0,36.0,37.0,1,2,1,1,3
Beyond,Plant,Treatment,4,43.0,70.0,73.0,30.0,88.0,70.0,59.0,37.0,2,2,1,2,2
Beef,Animal,Control,2,42.0,53.0,49.0,66.0,53.0,43.0,77.0,61.0,2,2,2,2,3
Turkey,Animal,Treatment,2,29.0,53.0,60.0,50.0,65.0,25.0,65.0,71.0,2,2,2,1,2
Bean,Plant,Treatment,3,51.0,53.0,20.0,64.0,26.0,24.0,77.0,90.0,1,3,1,2,2
Bean,Plant,Treatment,4,59.0,35.0,64.0,46.0,23.0,55.0,54.0,44.0,2,2,2,2,2
Beyond,Plant,Control,7,53.0,36.0,52.0,35.0,41.0,52.0,35.0,32.0,1,2,2,1,1
Beef,Animal,Control,4,42.0,48.0,39.0,22.0,73.0,38.0,56.0,58.0,2,2,3,3,2
Bean,Plant,Control,2,71.0,74.0,76.0,69.0,75.0,70.0,72.0,68.0,2,2,2,1,2
Bean,Plant,Control,3,65.0,62.0,68.0,60.0,63.0,58.0,67.0,70.0,2,2,1,1,2
Bean,Plant,Control,4,58.0,55.0,56.0,55.0,53.0,57.0,61.0,51.0,2,2,2,2,1
Beef,Animal,Treatment,1,57.0,62.0,57.0,44.0,86.0,70.0,86.0,35.0,2,2,2,2,2
Beef,Animal,Control,2,33.0,40.0,44.0,22.0,100.0,75.0,64.0,65.0,1,2,2,3,1
Beyond,Plant,Treatment,6,42.0,38.0,34.0,27.0,52.0,48.0,31.0,21.0,1,1,1,1,3
Turkey,Animal,Treatment,3,72.0,74.0,76.0,70.0,73.0,71.0,75.0,73.0,2,2,2,2,2
Beyond,Plant,Treatment,5,38.0,50.0,31.0,11.0,19.0,21.0,37.0,34.0,2,2,2,2,2
Beyond,Plant,Treatment,5,25.0,36.0,32.0,46.0,5.0,32.0,47.0,44.0,1,1,1,1,2
